,WOE_ID,ISO,Name,Language,PlaceType,Parent_ID
3373913,1451504,UG,Iganga,ENG,Town,56190258
3373914,1451600,UG,Kabale,ENG,Town,56190263
3373915,1519053,UG,Kakoro,ENG,Town,56190233
3373916,1450068,UG,Abari,ENG,Town,56190365
3373917,1450089,UG,Aboki,ENG,Town,56190220
3373918,1450120,UG,Achwa,ENG,Town,56190225
3373919,1450134,UG,Adilang,ENG,Town,56190345
3373920,1450138,UG,Adjumani,ENG,Town,56190222
3373921,1450167,UG,Agoro,ENG,Town,56190367
3373922,1450211,UG,Akilok,ENG,Town,56190366
3373923,1450216,UG,Akokoro,ENG,Town,56190221
3373924,1450262,UG,Aloi,ENG,Town,56190299
3373925,1450283,UG,Amenu,ENG,Town,56190279
3373926,1450298,UG,Amolatar,ENG,Town,56190226
3373927,1450307,UG,Amudat,ENG,Town,56190339
3373928,1450309,UG,Amuria,ENG,Town,56190224
3373929,1450314,UG,Anaka,ENG,Town,56190286
3373930,1450341,UG,Apac,ENG,Town,56190221
3373931,1450381,UG,Arapoo,ENG,Town,56190362
3373932,1450391,UG,Arinyapi,ENG,Town,56190222
3373933,1450394,UG,Arua,ENG,Town,56190228
3373934,1450414,UG,Atanga,ENG,Town,56190346
3373935,1450425,UG,Atiak,ENG,Town,56190285
3373936,1450435,UG,Atura,ENG,Town,56190344
3373937,1450493,UG,Bamunanika,ENG,Town,56190301
3373938,1450540,UG,Biliefe,ENG,Town,56190316
3373939,1450558,UG,Biso,ENG,Town,56190308
3373940,1450572,UG,Bobi,ENG,Town,56190253
3373941,1450581,UG,Boroboro,ENG,Town,56190297
3373942,1450583,UG,Bubada,ENG,Town,56190236
3373943,1450589,UG,Bubandi,ENG,Town,56190238
3373944,1450616,UG,Budaka,ENG,Town,56190232
3373945,1450645,UG,Bugadi,ENG,Town,56190314
3373946,1450658,UG,Bugana,ENG,Town,56190308
3373947,1450659,UG,Buganga,ENG,Town,56190319
3373948,1450671,UG,Bugembe,ENG,Town,56190260
3373949,1450706,UG,Bugondo,ENG,Town,56190362
3373950,1450717,UG,Bugoye,ENG,Town,56190289
3373951,1450735,UG,Bugwe,ENG,Town,56190237
3373952,1450746,UG,Buhuka,ENG,Town,56190255
3373953,1450777,UG,Bukakata,ENG,Town,56190305
3373954,1450796,UG,Bukedea,ENG,Town,56190234
3373955,1450835,UG,Bukomero,ENG,Town,56190272
3373956,1450858,UG,Bukungo,ENG,Town,56190292
3373957,1450866,UG,Bukuya,ENG,Town,56190311
3373958,1450916,UG,Bulisa,ENG,Town,56190308
3373959,1450925,UG,Bulopa,ENG,Town,56190293
3373960,1450984,UG,Bundibugyo,ENG,Town,56190238
3373961,1451017,UG,Busaba,ENG,Town,56190236
3373962,1451037,UG,Busembatia,ENG,Town,56190257
3373963,1451042,UG,Busesa,ENG,Town,56190257
3373964,1451047,UG,Bushenyi,ENG,Town,56190245
3373965,1451050,UG,Busia,ENG,Town,56190248
3373966,1451067,UG,Busiu,ENG,Town,56190312
3373967,1451073,UG,Busolwe,ENG,Town,56190236
3373968,1451087,UG,Busungwe,ENG,Town,56190349
3373969,1451088,UG,Busunju,ENG,Town,56190372
3373970,1451099,UG,Butaleja,ENG,Town,56190236
3373971,1451135,UG,Butiaba,ENG,Town,56190308
3373972,1451139,UG,Butiru,ENG,Town,56190327
3373973,1451167,UG,Buwama,ENG,Town,56190319
3373974,1451182,UG,Buwayo,ENG,Town,56190235
3373975,1451187,UG,Buwenge,ENG,Town,56190262
3373976,1451224,UG,Buyende,ENG,Town,56190292
3373977,1451260,UG,Bwambara,ENG,Town,56190287
3373978,1451297,UG,Bwikara,ENG,Town,56190276
3373979,1451335,UG,Cu-Co,ENG,Town,56190288
3373980,1451366,UG,Dufile,ENG,Town,56190329
3373981,1451382,UG,Entebbe,ENG,Town,56190375
3373982,1451384,UG,Erima,ENG,Town,56190330
3373983,1451385,UG,Eruba,ENG,Town,56190230
3373984,1451392,UG,Fort George,ENG,Town,56190289
3373985,1451396,UG,Gaba,ENG,Town,56190280
3373986,1451404,UG,Galiraya,ENG,Town,56190295
3373987,1451447,UG,Gogonyo,ENG,Town,56190348
3373988,1451449,UG,Goli,ENG,Town,56190333
3373989,1451471,UG,Gulu,ENG,Town,56190252
3373990,1451485,UG,Hapuye,ENG,Town,56190277
3373991,1451488,UG,Hoima,ENG,Town,56190254
3373992,1451492,UG,Ibanda,ENG,Town,56190256
3373993,1451497,UG,Ibuje,ENG,Town,56190221
3373994,1451503,UG,Iganga,ENG,Town,56190259
3373995,1451525,UG,Inde,ENG,Town,56190229
3373996,1451563,UG,Iyingo,ENG,Town,56190292
3373997,1451575,UG,Jinja,ENG,Town,56190261
3373998,1451584,UG,Kaabong,ENG,Town,56190218
3373999,1451586,UG,Kaba,ENG,Town,56190289
3374000,1451611,UG,Kabarole,ENG,Town,56190242
3374001,1451613,UG,Kabasanda,ENG,Town,56190317
3374002,1451622,UG,Kaberamaido,ENG,Town,56190267
3374003,1451668,UG,Kaburoron,ENG,Town,56190283
3374004,1451679,UG,Kabwohe,ENG,Town,56190247
3374005,1451681,UG,Kabwoya,ENG,Town,56190255
3374006,1451690,UG,Kachumbala,ENG,Town,56190234
3374007,1451692,UG,Kachung,ENG,Town,56190250
3374008,1451714,UG,Kafunzo,ENG,Town,56190341
3374009,1451718,UG,Kagadi,ENG,Town,56190276
3374010,1451752,UG,Kagulu,ENG,Town,56190292
3374011,1451759,UG,Kagwara,ENG,Town,56190362
3374012,1451775,UG,Kahunge,ENG,Town,56190269
3374013,1451785,UG,Kajansi,ENG,Town,56190374
3374014,1451791,UG,Kakabara,ENG,Town,56190277
3374015,1451820,UG,Kakiri,ENG,Town,56190374
3374016,1451842,UG,Kakumiro,ENG,Town,56190275
3374017,1451854,UG,Kalabi,ENG,Town,56190218
3374018,1451869,UG,Kalaki,ENG,Town,56190268
3374019,1451877,UG,Kalangalo,ENG,Town,56190372
3374020,1451899,UG,Kaliro,ENG,Town,56190354
3374021,1451901,UG,Kalisizo,ENG,Town,56190351
3374022,1451912,UG,Kalongo,ENG,Town,56190345
3374023,1451969,UG,Kamudini,ENG,Town,56190344
3374024,1451972,UG,Kamuge,ENG,Town,56190348
3374025,1451974,UG,Kamui,ENG,Town,56190371
3374026,1451981,UG,Kamuli,ENG,Town,56190293
3374027,1452005,UG,Kangole,ENG,Town,56190324
3374028,1452018,UG,Kanoni,ENG,Town,56190318
3374029,1452027,UG,Kanungu,ENG,Town,56190373
3374030,1452061,UG,Kapchorwa,ENG,Town,56190284
3374031,1452062,UG,Kapeka,ENG,Town,56190336
3374032,1452070,UG,Kapujan,ENG,Town,56190279
3374033,1452127,UG,Kasanda,ENG,Town,56190311
3374034,1452129,UG,Kasangati,ENG,Town,56190376
3374035,1452134,UG,Kasanje,ENG,Town,56190374
3374036,1452154,UG,Kasese,ENG,Town,56190289
3374037,1452231,UG,Katakwi,ENG,Town,56190279
3374038,1452254,UG,Kateng,ENG,Town,56190362
3374039,1452261,UG,Katera,ENG,Town,56190272
3374040,1452290,UG,Katojo,ENG,Town,56190288
3374041,1452293,UG,Katoke,ENG,Town,56190278
3374042,1452329,UG,Katwe,ENG,Town,56190288
3374043,1452331,UG,Katwe (2),ENG,Town,56190289
3374044,1452346,UG,Kawanda,ENG,Town,56190376
3374045,1452367,UG,Kawumulo,ENG,Town,56190311
3374046,1452390,UG,Kayonza,ENG,Town,56190295
